Source	Target	Type	Weight	8	12	10	6	7	weight	timeset	19	9	id	13	11	label	16	14	15	18	17
0VRj0yCOv2FXJNP47XQnx5	5pUo3fmmHT8bhCyHE52hA6	0	4.0	Undirected	Liam Payne	4	3	1417	4.0	null	day	15665	59	5947	Quavo	null	false	4KYD3RjwErvhpGxudM6D1E	Strip That Down - Nevada Remix	30/06/2017	50
0VRj0yCOv2FXJNP47XQnx5	5yG7ZAZafVaAlMTeBybKAL	0	2.0	Undirected	Iggy Azalea	2	3	211	2.0	null	day	10494	60	4266	Quavo	null	false	1rMo0Fuv4vYRGT78bZQohI	Savior	02/02/2018	65
0VRj0yCOv2FXJNP47XQnx5	0hCNtLu0JehylgoiP8L4Gh	0	2.0	Undirected	Nicki Minaj	2	3	33	2.0	null	day	7914	61	3162	Quavo	null	true	1kcEx8qhKKHjHkM4bj5s8F	Boo'd Up (with Nicki Minaj & Quavo) - Remix	04/07/2018	73
0VRj0yCOv2FXJNP47XQnx5	55Aa2cqylxrFIXC767Z865	0	2.0	Undirected	Lil Wayne	2	3	285	2.0	null	day	7317	62	2856	Quavo	null	true	1jYiIOC5d6soxkJP81fxq2	I'm the One	22/06/2017	75
0VRj0yCOv2FXJNP47XQnx5	1anyVhU62p31KFi8MEzkbf	0	2.0	Undirected	Chance the Rapper	2	3	87	2.0	null	day	7316	63	2856	Quavo	null	true	1jYiIOC5d6soxkJP81fxq2	I'm the One	22/06/2017	75
0VRj0yCOv2FXJNP47XQnx5	1uNFoZAHBGtllmzznpCI3s	0	2.0	Undirected	Justin Bieber	2	3	490	2.0	null	day	7315	64	2856	Quavo	null	true	1jYiIOC5d6soxkJP81fxq2	I'm the One	22/06/2017	75
0VRj0yCOv2FXJNP47XQnx5	0QHgL1lAIqAw0HtD7YldmP	0	2.0	Undirected	DJ Khaled	2	3	755	2.0	null	day	7314	65	2856	Quavo	null	true	1jYiIOC5d6soxkJP81fxq2	I'm the One	22/06/2017	75
0VRj0yCOv2FXJNP47XQnx5	4nDoRrQiYLoBzwC5BhVJzF	0	4.0	Undirected	Camila Cabello	4	3	477	4.0	null	day	3745	66	6378	Quavo	null	false	6BKeNWeUqxmvQ09Gxd3ZGX	Know No Better	01/06/2017	68
0VRj0yCOv2FXJNP47XQnx5	2RdwBSPQiwcmiDo9kixcl8	0	2.0	Undirected	Pharrell Williams	2	3	339	2.0	null	day	2600	67	1170	Quavo	null	true	5NkfVQS8BkceRgoSQwcW6H	Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell)	29/03/2018	78
0VRj0yCOv2FXJNP47XQnx5	7iZtZyCzp3LItcw1wtPI3D	0	2.0	Undirected	Rae Sremmurd	2	3	338	2.0	null	day	2598	68	1170	Quavo	null	true	5NkfVQS8BkceRgoSQwcW6H	Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell)	29/03/2018	78
0VRj0yCOv2FXJNP47XQnx5	64M6ah0SkkRsnPGtGiRAbb	0	2.0	Undirected	Bebe Rexha	2	3	281	2.0	null	day	2238	69	1020	Quavo	null	false	2dMUJy0El3BcQUy9gP9gt0	2 Souls on Fire (feat. Quavo)	22/06/2018	65
0VRj0yCOv2FXJNP47XQnx5	2h93pZq0e7k5yf4dywlkpM	0	2.0	Undirected	Frank Ocean	2	3	57	2.0	null	day	385	70	141	Quavo	null	true	4pdgV8qr9Oytcv6thCdiIZ	RAF	25/08/2017	62
0VRj0yCOv2FXJNP47XQnx5	4O15NlyKLIASxsJ0PrXPfz	0	2.0	Undirected	Lil Uzi Vert	2	3	56	2.0	null	day	384	71	141	Quavo	null	true	4pdgV8qr9Oytcv6thCdiIZ	RAF	25/08/2017	62
0VRj0yCOv2FXJNP47XQnx5	699OTQXzgjhIYAHMy9RyPD	0	2.0	Undirected	Playboi Carti	2	3	55	2.0	null	day	383	72	141	Quavo	null	true	4pdgV8qr9Oytcv6thCdiIZ	RAF	25/08/2017	62
0VRj0yCOv2FXJNP47XQnx5	13ubrt8QOOCPljQ2FL1Kca	0	2.0	Undirected	A$AP Rocky	2	3	48	2.0	null	day	382	73	141	Quavo	null	true	4pdgV8qr9Oytcv6thCdiIZ	RAF	25/08/2017	62
0VRj0yCOv2FXJNP47XQnx5	1URnnhqYAYcrqrcwql10ft	0	2.0	Undirected	21 Savage	2	3	18	2.0	null	day	154	74	18	Quavo	null	true	0tdCy39PgWN8LFWu34ORn3	Rap Saved Me	30/10/2017	72
0VRj0yCOv2FXJNP47XQnx5	7pFeBzX627ff0VnN6bxPR4	0	2.0	Undirected	Desiigner	2	3	14	2.0	null	day	86	75	6	Quavo	null	true	2nBI3iWLhupR7LyAJ5GGkE	Champions	10/06/2016	71
0VRj0yCOv2FXJNP47XQnx5	6Ha4aES39QiVjR0L2lwuwq	0	4.0	Undirected	Yo Gotti	4	3	13	4.0	null	day	85	76	10585	Quavo	null	true	0rHJxNaQRMGK6Y4TUx3xRO	Castro	23/12/2016	57
0VRj0yCOv2FXJNP47XQnx5	0Y5tJX1MQlPlqiwlOH1tJY	0	24.0	Undirected	Travis Scott	24	3	10	24.0	null	day	84	77	6378	Quavo	null	false	6BKeNWeUqxmvQ09Gxd3ZGX	Know No Better	01/06/2017	68
0VRj0yCOv2FXJNP47XQnx5	0c173mlxpT3dSFRgMO8XPh	0	6.0	Undirected	Big Sean	6	3	12	6.0	null	day	82	78	10585	Quavo	null	true	0rHJxNaQRMGK6Y4TUx3xRO	Castro	23/12/2016	57
0VRj0yCOv2FXJNP47XQnx5	13y7CgLHjMVRMDqxdx0Xdo	0	6.0	Undirected	Gucci Mane	6	3	11	6.0	null	day	81	79	10179	Quavo	null	true	2R7Gn3cjnPaVO0Oj8nsTDP	Pineapple (feat. Gucci Mane & Quavo)	11/05/2018	77
0VRj0yCOv2FXJNP47XQnx5	5K4W6rqBFWDnAN6FQUkS6x	0	4.0	Undirected	Kanye West	4	3	841	4.0	null	day	80	80	10585	Quavo	null	true	0rHJxNaQRMGK6Y4TUx3xRO	Castro	23/12/2016	57
7c0XG5cIJTrrAgEC3ULPiq	1Xylc3o4UrD53lo9CvFvVg	0	2.0	Undirected	Zara Larsson	2	4	618	2.0	null	day	23312	81	10670	Ty Dolla $ign	null	false	54LGxQGf5LPXNGjtzDZ5IE	So Good	17/03/2017	63
7c0XG5cIJTrrAgEC3ULPiq	0A0FS04o6zMoto8OKPsDwY	0	2.0	Undirected	YG	2	4	16	2.0	null	day	22555	82	10182	Ty Dolla $ign	null	true	1Mb187X5w3OUQNH6P5M28Y	Ex (feat. YG)	27/10/2017	71
7c0XG5cIJTrrAgEC3ULPiq	1Xyo4u8uXC1ZmMpatF05PJ	0	2.0	Undirected	The Weeknd	2	4	384	2.0	null	day	22543	83	10180	Ty Dolla $ign	null	true	7t2bFihaDvhIrd2gn2CWJO	Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix	10/06/2014	77
7c0XG5cIJTrrAgEC3ULPiq	13y7CgLHjMVRMDqxdx0Xdo	0	4.0	Undirected	Gucci Mane	4	4	11	4.0	null	day	22535	84	10600	Ty Dolla $ign	null	true	430Bl42cdlGIWqagDm38sc	Go Get Sum Mo (feat. Gucci Mane, 2 Chainz & Ty Dolla $ign)	20/10/2017	58
7c0XG5cIJTrrAgEC3ULPiq	2jku7tDXc6XoB6MO2hFuqg	0	2.0	Undirected	Tory Lanez	2	4	37	2.0	null	day	22304	85	10021	Ty Dolla $ign	null	true	2ZN1EnypRwsD38EoFRwmu9	Droptop in the Rain (feat. Tory Lanez)	27/10/2017	67
7c0XG5cIJTrrAgEC3ULPiq	6vXTefBL93Dj5IqAWq6OTv	0	2.0	Undirected	French Montana	2	4	8	2.0	null	day	22191	86	9929	Ty Dolla $ign	null	true	6XddLa3bdlJJQC6sImufdH	Me So Bad	13/04/2018	65
7c0XG5cIJTrrAgEC3ULPiq	0NIIxcxNHmOoyBx03SfTCD	0	2.0	Undirected	Tinashe	2	4	1336	2.0	null	day	22190	87	9929	Ty Dolla $ign	null	true	6XddLa3bdlJJQC6sImufdH	Me So Bad	13/04/2018	65
7c0XG5cIJTrrAgEC3ULPiq	246dkjvS1zLTtiykXe5h60	0	2.0	Undirected	Post Malone	2	4	749	2.0	null	day	19015	88	7832	Ty Dolla $ign	null	true	3swc6WTsr7rl9DqQKQA55C	Psycho (feat. Ty Dolla $ign)	27/04/2018	94
