Id	eigencentrality	1	0	2	3	eccentricity	betweenesscentrality	timeset	5	4	harmonicclosnesscentrality	id	degree	triangles	clustering	modularity_class	label	closnesscentrality	weighted degree
6CQGrt3AJ2gx5oMSR0mwbl	0.0	1K Phew	183	48	10675	0.0	0.0	null	6CQGrt3AJ2gx5oMSR0mwbl.jpg	christian hip hop, christian trap	0.0	6CQGrt3AJ2gx5oMSR0mwbl	0	0	0.0	131	6CQGrt3AJ2gx5oMSR0mwbl	0.0	0.0
4c6lhwoOrmgNWvl0GxHlW1	0.0	Tedashii	184	52	118348	0.0	0.0	null	4c6lhwoOrmgNWvl0GxHlW1.jpg	christian hip hop, christian trap	0.0	4c6lhwoOrmgNWvl0GxHlW1	0	0	0.0	132	4c6lhwoOrmgNWvl0GxHlW1	0.0	0.0
6YgYm3f9ifsz4OwQt8jql7	0.0	WHATUPRG	185	48	9312	0.0	0.0	null	6YgYm3f9ifsz4OwQt8jql7.jpg	christian hip hop, christian trap	0.0	6YgYm3f9ifsz4OwQt8jql7	0	0	0.0	133	6YgYm3f9ifsz4OwQt8jql7	0.0	0.0
1CFCsEqKrCyvAFKOATQHiW	0.0	Lecrae	186	67	658445	0.0	0.0	null	1CFCsEqKrCyvAFKOATQHiW.jpg	ccm, christian hip hop, christian music, worship	0.0	1CFCsEqKrCyvAFKOATQHiW	0	0	0.0	134	1CFCsEqKrCyvAFKOATQHiW	0.0	0.0
12H1Dmi64fAmmARrsyVFzy	0.0	Trip Lee	187	53	208615	0.0	0.0	null	12H1Dmi64fAmmARrsyVFzy.jpg	christian hip hop, christian trap	0.0	12H1Dmi64fAmmARrsyVFzy	0	0	0.0	135	12H1Dmi64fAmmARrsyVFzy	0.0	0.0
1pcufq5QrAZE0kBRQS65DM	0.0	CASS	188	46	15988	0.0	0.0	null	1pcufq5QrAZE0kBRQS65DM.jpg	christian hip hop, christian trap	0.0	1pcufq5QrAZE0kBRQS65DM	0	0	0.0	136	1pcufq5QrAZE0kBRQS65DM	0.0	0.0
77IKXFvO7SpWrq8hflrUXc	0.0	KB	189	58	160137	0.0	0.0	null	77IKXFvO7SpWrq8hflrUXc.jpg	christian hip hop, christian trap	0.0	77IKXFvO7SpWrq8hflrUXc	0	0	0.0	137	77IKXFvO7SpWrq8hflrUXc	0.0	0.0
4sj6D0zlMOl25nprDJBiU9	0.0	Andy Williams	190	55	134587	0.0	0.0	null	4sj6D0zlMOl25nprDJBiU9.jpg	adult standards, brill building pop, christmas, easy listening, lounge, mellow gold, operatic pop, vocal jazz	0.0	4sj6D0zlMOl25nprDJBiU9	0	0	0.0	138	4sj6D0zlMOl25nprDJBiU9	0.0	0.0
0NVTeGmwd2WQm5r6DGHV2Y	0.0	The St. Charles Borromeo Choir	191	26	15	0.0	0.0	null	0NVTeGmwd2WQm5r6DGHV2Y.jpg	NaN	0.0	0NVTeGmwd2WQm5r6DGHV2Y	0	0	0.0	139	0NVTeGmwd2WQm5r6DGHV2Y	0.0	0.0
1zNqDE7qDGCsyzJwohVaoX	0.055886360647363596	Anne-Marie	192	84	1317879	7.0	209.02879594979763	null	1zNqDE7qDGCsyzJwohVaoX.jpg	dance pop, pop, post-teen pop, tropical house	0.3356660882976675	1zNqDE7qDGCsyzJwohVaoX	7	3	0.14285714285714285	1233	1zNqDE7qDGCsyzJwohVaoX	0.29975728155339804	18.0
738wLrAtLtCtFOLvQBXOXp	0.3427531596384936	Major Lazer	193	80	4558172	6.0	592.6212382691398	null	738wLrAtLtCtFOLvQBXOXp.jpg	dance pop, edm, electro house, moombahton, pop, tropical house	0.4225371120107955	738wLrAtLtCtFOLvQBXOXp	15	13	0.12380952380952381	672	738wLrAtLtCtFOLvQBXOXp	0.3731117824773414	30.0
