Id	eigencentrality	0	eccentricity	betweenesscentrality	timeset	harmonicclosnesscentrality	id	degree	triangles	clustering	modularity_class	label	closnesscentrality	weighted degree
5hW4L92KnC6dX9t7tYM4Ve	0.0046456601400966845	Joni Mitchell	12.0	22020.212314972272	null	0.18368660696737213	5hW4L92KnC6dX9t7tYM4Ve	4	0	0.0	4659	5hW4L92KnC6dX9t7tYM4Ve	0.1755002569671248	12.0
49856RcJxssVItWTwNdMPb	0.0011298995661999521	Dabruck & Klein	12.0	0.0	null	0.1719114575623295	49856RcJxssVItWTwNdMPb	1	0	0.0	5415	49856RcJxssVItWTwNdMPb	0.16491665368437453	2.0
502FY8XQYRxClWgolQ3Hf2	0.0028321554563180765	Lynn Anderson	12.0	0.0	null	0.17214877377593438	502FY8XQYRxClWgolQ3Hf2	2	1	1.0	5814	502FY8XQYRxClWgolQ3Hf2	0.1651585122316525	4.0
2wpWOzQE5TpA0dVnh5YD08	0.0	Bronski Beat	0.0	0.0	null	0.0	2wpWOzQE5TpA0dVnh5YD08	0	0	0.0	976	2wpWOzQE5TpA0dVnh5YD08	0.0	0.0
4B7Kwlv6J5QpJ44vB6STUF	0.0	The Five Americans	0.0	0.0	null	0.0	4B7Kwlv6J5QpJ44vB6STUF	0	0	0.0	977	4B7Kwlv6J5QpJ44vB6STUF	0.0	0.0
62c0JkGj9YsW5bfjUJCAmw	0.0	(with India.Arie)	0.0	0.0	null	0.0	62c0JkGj9YsW5bfjUJCAmw	0	0	0.0	978	62c0JkGj9YsW5bfjUJCAmw	0.0	0.0
4ofO3LyUh6kDM3CTLQasFi	0.008442233984033798	Kele Okereke	11.0	31749.0	null	0.19753360710286363	4ofO3LyUh6kDM3CTLQasFi	2	0	0.0	4904	4ofO3LyUh6kDM3CTLQasFi	0.18677770524198528	8.0
1h8YIw9HLr6E8gdXVDRbVJ	4.143912571332906E-4	Big Country	1.0	0.0	null	1.0	1h8YIw9HLr6E8gdXVDRbVJ	1	0	0.0	2535	1h8YIw9HLr6E8gdXVDRbVJ	1.0	6.0
0FhfezGfDiRAGxIXz4qeKl	0.007838119435368423	Nemesis	11.0	0.0	null	0.2020366242381277	0FhfezGfDiRAGxIXz4qeKl	1	0	0.0	5656	0FhfezGfDiRAGxIXz4qeKl	0.19100373491149883	4.0
2T1aUibqR2QC2sINIDQOAK	0.0019064948525569561	Mambo Kingz	12.0	0.0	null	0.15988549703126095	2T1aUibqR2QC2sINIDQOAK	1	0	0.0	5415	2T1aUibqR2QC2sINIDQOAK	0.15453112227023239	2.0
7IYwVupkZuGBcG3CPBzsC5	0.0019300767250621496	Afrikan Boy	11.0	0.0	null	0.18425367613683863	7IYwVupkZuGBcG3CPBzsC5	1	0	0.0	5656	7IYwVupkZuGBcG3CPBzsC5	0.17634809841909743	2.0
6Pwy6Wat9hp8g83y6gih5g	0.0014043574124781733	Damage	12.0	10585.0	null	0.17082085394716506	6Pwy6Wat9hp8g83y6gih5g	2	0	0.0	5814	6Pwy6Wat9hp8g83y6gih5g	0.16482934728450424	4.0
0JKcD4yy4jCrbw9qiMFVLG	5.600390160524339E-4	Dylan Carbone	2.0	0.0	null	0.625	0JKcD4yy4jCrbw9qiMFVLG	1	0	0.0	4496	0JKcD4yy4jCrbw9qiMFVLG	0.5714285714285714	2.0
06rw1GLIJu1xfIgO6iI7RG	0.0	Nikki Giovanni	0.0	0.0	null	0.0	06rw1GLIJu1xfIgO6iI7RG	0	0	0.0	979	06rw1GLIJu1xfIgO6iI7RG	0.0	0.0
73CmW7Heo8CxnYXydAs6qc	0.005075413881103768	Kathy Troccoli	12.0	46481.51638762431	null	0.18080794449584972	73CmW7Heo8CxnYXydAs6qc	3	0	0.0	5909	73CmW7Heo8CxnYXydAs6qc	0.17218887750288717	8.0
2PtETwSMopfV376UUgcwIs	0.003781389678353739	Margie Singleton	12.0	1621.5749428378415	null	0.17267839115563616	2PtETwSMopfV376UUgcwIs	2	0	0.0	4957	2PtETwSMopfV376UUgcwIs	0.16522037707578974	8.0
5KQMtyPE8DCQNUzoNqlEsE	0.0012603041124503377	Gary Numan	1.0	3.0	null	1.0	5KQMtyPE8DCQNUzoNqlEsE	3	0	0.0	4998	5KQMtyPE8DCQNUzoNqlEsE	1.0	218.0
2YO51Bi9dQQSAQLKsttTo8	0.0010797079780763223	J. Navarro, L. Sims, L. Wilson, D. Wright	13.0	0.0	null	0.14211544144709953	2YO51Bi9dQQSAQLKsttTo8	1	0	0.0	4659	2YO51Bi9dQQSAQLKsttTo8	0.13862008459151204	2.0
7oi148tKApYEvShEzM7fVR	7.126140375385444E-4	Felix Project	13.0	0.0	null	0.13509240486615426	7oi148tKApYEvShEzM7fVR	1	0	0.0	3685	7oi148tKApYEvShEzM7fVR	0.13165847895031405	4.0
