name,betweenesscentrality,closnesscentrality,clustering,degree,eccentricity,eigencentrality,harmonicclosnesscentrality,weighted degree,pagerank,Spotify ID,Cluster,profile
Miike Snow,0.0,0.08285984096868568,0.0,1,14,4.308956309927318e-05,1162.946980796987,6,3.4517180750937894e-05,4l1cKWYW591xnwEGxpUg3J,5,1A 2B 3A 4A
Magdalena,0.0,0.08668709478844602,0.0,1,14,0.0002977589446423501,1233.684498834523,2,2.4352454476857918e-05,4wlgF2WCCPNhQ0FpNwO3vc,4,1A 2B 3A 4A
Curtis Womack,0.0,0.06643876324228483,0.0,1,14,2.7130892006406874e-07,914.1024586524272,4,4.5700139852752466e-05,0dJEZHsytuV37SafNq1bGB,5,1A 2B 3A 4A
The Aston Shuffle,7.713523329125094e-05,0.07799070449168068,0.0,2,14,1.4138189037346834e-05,1086.7759490509186,4,4.2750161707833934e-05,4Jv9I6DAbcjDa8HGFAjv94,5,1A 2B 3A 4A
David Mayer,0.0,0.08445356728915433,0.0,1,13,8.020577620006017e-05,1189.5850482850626,4,2.642369351276182e-05,7Mf7RKErlQ5maEdHTXNexf,4,1A 2B 3A 4A
Peter Case with Greg Leisz,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,4I1V9cBm1JHSQUsffNNv9l,1,1A 2A 3A 4A
Sin Bandera,0.0,0.0813608959414461,0.0,1,12,4.901847583037796e-05,1131.5914502164378,2,2.9970377649737728e-05,7xeM7V59cA1X8GKyKKQV87,4,1A 2B 3A 4A
Steve Smart,0.0001366838125824484,0.09320442055801861,0.0,3,13,0.0003813416603863833,1324.2939588190075,6,4.771013424900931e-05,4cpSj0WmcT6sDkjz97Hd9X,4,1A 2B 3A 4A
Tep No,7.747209879318216e-05,0.090098084070008,0.0,2,12,0.00017323796259042018,1264.1791125541451,4,5.3375986648943397e-05,7MlotYZhHjOlXcvmwrITj8,4,1A 2B 3A 4A
Sylvan Esso,0.0,0.07846396595031305,0.0,1,14,2.969129777755202e-05,1093.4306027305788,2,3.1227689936872015e-05,39vA9YljbnOApXKniLWBZv,5,1A 2B 3A 4A
ILLI,0.0,0.08534917515426209,0.0,1,14,0.0005631551481344605,1204.8412087912284,4,3.220616098617832e-05,3c2TQKOFDHifO2d9RaCGXl,4,1A 2B 3A 4A
