Id,name,popularity,followers,genres,image,Spotify ID
2025,The Shins,62,744277,"albuquerque indie, alternative rock, chamber pop, folk-pop, garage rock, indie folk, indie pop, indie rock, indietronica, modern rock, neo-psychedelic, pop rock, stomp and holler",4LG4Bs1Gadht7TCrMytQUO.jpg,4LG4Bs1Gadht7TCrMytQUO
2026,The Story So Far,59,230394,"alternative emo, anthem emo, emo, melodic hardcore, modern rock, pop punk, screamo",6meTcQ79DrfkIuSLPZkpBg.jpg,6meTcQ79DrfkIuSLPZkpBg
2027,The Swon Brothers,37,35416,"contemporary country, lift kit",1nf0nRF0W4ybnJdda00pKY.jpg,1nf0nRF0W4ybnJdda00pKY
2028,The Sword,48,104865,"doom metal, psychedelic doom, rock, sludge metal, stoner metal, stoner rock",0q32a3GRCjDxS4EIrC7YVY.jpg,0q32a3GRCjDxS4EIrC7YVY
2029,Turnpike Troubadours,58,100658,"deep texas country, outlaw country, texas country",1YSA4byX5AL1zoTsSTlB03.jpg,1YSA4byX5AL1zoTsSTlB03
2030,The Used,60,489879,"emo, modern rock, pop punk, post-hardcore, screamo",55VydwMyCuGcavwPuhutPL.jpg,55VydwMyCuGcavwPuhutPL
2031,Matoma,70,350681,"dance pop, deep tropical house, edm, pop, tropical house",4YXycRbyyAE0wozTk7QMEq.jpg,4YXycRbyyAE0wozTk7QMEq
2032,The War On Drugs,62,403133,"indie folk, indie pop, indie rock, modern rock",6g0mn3tzAds6aVeUYRsryU.jpg,6g0mn3tzAds6aVeUYRsryU
2033,Gesaffelstein,64,178742,destroy techno,3hteYQFiMFbJY7wS0xDymP.jpg,3hteYQFiMFbJY7wS0xDymP
2034,The Winery Dogs,41,66626,modern hard rock,0XQIFN6X5mD98c6gOSLtfJ.jpg,0XQIFN6X5mD98c6gOSLtfJ
2035,The Wonder Years,56,162331,"alternative emo, anthem emo, emo, modern rock, pop punk",0nq64XZMWV1s7XHXIkdH7K.jpg,0nq64XZMWV1s7XHXIkdH7K
2036,The xx,70,2913488,"downtempo, dream pop, indietronica",3iOvXCl6edW5Um0fXEBRXy.jpg,3iOvXCl6edW5Um0fXEBRXy
2037,Theory of a Deadman,67,770894,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rap metal, rap rock, wrestling",74eX4C98E4FCrAMl39qRsJ.jpg,74eX4C98E4FCrAMl39qRsJ
