Source,Target,Type,Id,Weight,label1,label2,name1,name2,id_track,label_track,title,explicit,popularity,release_date,release_date_precision
3,1417,Undirected,15665,4,0VRj0yCOv2FXJNP47XQnx5,5pUo3fmmHT8bhCyHE52hA6,Quavo,Liam Payne,5947,4KYD3RjwErvhpGxudM6D1E,Strip That Down - Nevada Remix,False,50,30/06/2017,day
3,1417,Undirected,15665,4,0VRj0yCOv2FXJNP47XQnx5,5pUo3fmmHT8bhCyHE52hA6,Quavo,Liam Payne,5947,4KYD3RjwErvhpGxudM6D1E,Strip That Down - Nevada Remix,False,50,30/06/2017,day
3,211,Undirected,10494,2,0VRj0yCOv2FXJNP47XQnx5,5yG7ZAZafVaAlMTeBybKAL,Quavo,Iggy Azalea,4266,1rMo0Fuv4vYRGT78bZQohI,Savior,False,65,02/02/2018,day
3,33,Undirected,7914,2,0VRj0yCOv2FXJNP47XQnx5,0hCNtLu0JehylgoiP8L4Gh,Quavo,Nicki Minaj,3162,1kcEx8qhKKHjHkM4bj5s8F,Boo'd Up (with Nicki Minaj & Quavo) - Remix,True,73,04/07/2018,day
3,285,Undirected,7317,2,0VRj0yCOv2FXJNP47XQnx5,55Aa2cqylxrFIXC767Z865,Quavo,Lil Wayne,2856,1jYiIOC5d6soxkJP81fxq2,I'm the One,True,75,22/06/2017,day
3,87,Undirected,7316,2,0VRj0yCOv2FXJNP47XQnx5,1anyVhU62p31KFi8MEzkbf,Quavo,Chance the Rapper,2856,1jYiIOC5d6soxkJP81fxq2,I'm the One,True,75,22/06/2017,day
3,490,Undirected,7315,2,0VRj0yCOv2FXJNP47XQnx5,1uNFoZAHBGtllmzznpCI3s,Quavo,Justin Bieber,2856,1jYiIOC5d6soxkJP81fxq2,I'm the One,True,75,22/06/2017,day
3,755,Undirected,7314,2,0VRj0yCOv2FXJNP47XQnx5,0QHgL1lAIqAw0HtD7YldmP,Quavo,DJ Khaled,2856,1jYiIOC5d6soxkJP81fxq2,I'm the One,True,75,22/06/2017,day
3,477,Undirected,3745,4,0VRj0yCOv2FXJNP47XQnx5,4nDoRrQiYLoBzwC5BhVJzF,Quavo,Camila Cabello,6378,6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,False,68,01/06/2017,day
3,477,Undirected,3745,4,0VRj0yCOv2FXJNP47XQnx5,4nDoRrQiYLoBzwC5BhVJzF,Quavo,Camila Cabello,6378,6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,False,68,01/06/2017,day
